created_at,tweet_id,retweet_count,favorite_count
Tue Apr 18 23:50:52 +0000 2017,854482394044301312,7608,31131
Tue Apr 18 16:05:17 +0000 2017,854365224396361728,5159,20046
Mon Apr 17 23:52:16 +0000 2017,854120357044912130,8285,33911
Mon Apr 17 16:34:26 +0000 2017,854010172552949760,3433,17169
Mon Apr 17 00:03:50 +0000 2017,853760880890318849,6403,30414
Sun Apr 16 16:00:07 +0000 2017,853639147608842240,11265,37198
Sat Apr 15 17:32:18 +0000 2017,853299958564483072,3928,16508
Fri Apr 14 17:27:40 +0000 2017,852936405516943360,2243,0
Fri Apr 14 15:51:39 +0000 2017,852912242202992640,2037,9658
Thu Apr 13 23:59:28 +0000 2017,852672615818899456,2388,15939
Thu Apr 13 16:05:56 +0000 2017,852553447878664193,3885,17492
Thu Apr 13 00:03:59 +0000 2017,852311364735569921,10961,35325
Wed Apr 12 18:25:07 +0000 2017,852226086759018497,7570,21378
Wed Apr 12 16:00:27 +0000 2017,852189679701164033,1741,12217
Wed Apr 12 00:23:33 +0000 2017,851953902622658560,10706,0
Tue Apr 11 18:15:55 +0000 2017,851861385021730816,23,0
Tue Apr 11 00:24:08 +0000 2017,851591660324737024,3819,17300
Mon Apr 10 16:00:07 +0000 2017,851464819735769094,7855,25944
Mon Apr 10 00:06:42 +0000 2017,851224888060895234,6350,22090
Sat Apr 08 16:54:09 +0000 2017,850753642995093505,10352,33348
Fri Apr 07 16:10:12 +0000 2017,850380195714523136,2915,13994
Fri Apr 07 13:04:55 +0000 2017,850333567704068097,367,3647
Fri Apr 07 00:38:06 +0000 2017,850145622816686080,4244,17519
Thu Apr 06 16:18:05 +0000 2017,850019790995546112,5459,21944
Thu Apr 06 00:13:11 +0000 2017,849776966551130114,8404,32390
Wed Apr 05 17:00:34 +0000 2017,849668094696017920,5513,0
Wed Apr 05 00:04:08 +0000 2017,849412302885593088,3487,17039
Tue Apr 04 19:03:06 +0000 2017,849336543269576704,2101,12240
Tue Apr 04 00:12:06 +0000 2017,849051919805034497,7396,32617
Mon Apr 03 00:16:10 +0000 2017,848690551926992896,4826,27104
Sun Apr 02 00:03:26 +0000 2017,848324959059550208,4037,20229
Sat Apr 01 16:41:12 +0000 2017,848213670039564288,832,8834
Sat Apr 01 16:35:01 +0000 2017,848212111729840128,3444,17618
Sat Apr 01 01:08:10 +0000 2017,847978865427394560,3652,0
Sat Apr 01 00:39:12 +0000 2017,847971574464610304,482,0
Sat Apr 01 00:04:17 +0000 2017,847962785489326080,5730,25296
Fri Mar 31 16:07:33 +0000 2017,847842811428974592,1522,5935
Fri Mar 31 01:11:22 +0000 2017,847617282490613760,468,7558
Fri Mar 31 00:27:14 +0000 2017,847606175596138505,3774,20208
Thu Mar 30 00:56:03 +0000 2017,847251039262605312,4800,22036
Wed Mar 29 18:43:12 +0000 2017,847157206088847362,6572,21588
Wed Mar 29 16:00:12 +0000 2017,847116187444137987,3583,23108
Wed Mar 29 00:01:05 +0000 2017,846874817362120707,4404,21685
Tue Mar 28 00:07:32 +0000 2017,846514051647705089,13076,48410
Mon Mar 27 23:35:28 +0000 2017,846505985330044928,3492,15304
Mon Mar 27 00:15:53 +0000 2017,846153765933735936,10226,34394
Sun Mar 26 23:20:02 +0000 2017,846139713627017216,10972,33188
Sun Mar 26 16:55:29 +0000 2017,846042936437604353,3224,17256
Sun Mar 26 01:38:00 +0000 2017,845812042753855489,9894,31737
Sat Mar 25 16:45:08 +0000 2017,845677943972139009,5365,27154
Sat Mar 25 02:15:26 +0000 2017,845459076796616705,15071,0
Fri Mar 24 22:08:59 +0000 2017,845397057150107648,2072,8241
Fri Mar 24 16:10:40 +0000 2017,845306882940190720,6039,25225
